src_ip,dst_ip,len,ttl,protocol,src_port,dst_port
192.168.29.143,52.11.247.82,64,128,TCP,60189.0,443.0
192.168.29.143,224.0.0.22,40,1,,,
3.6.211.252,192.168.29.143,40,242,TCP,443.0,62135.0
192.168.29.143,3.6.211.252,40,128,TCP,62135.0,443.0
192.168.29.10,224.0.0.251,138,255,UDP,5353.0,5353.0
192.168.29.10,224.0.0.251,138,255,UDP,5353.0,5353.0
192.168.29.143,52.11.247.82,64,128,TCP,60189.0,443.0
192.168.29.10,224.0.0.251,138,255,UDP,5353.0,5353.0
192.168.29.10,224.0.0.251,138,255,UDP,5353.0,5353.0
192.168.29.143,3.6.211.252,64,128,TCP,62030.0,443.0
192.168.29.143,52.11.247.82,64,128,TCP,60189.0,443.0
192.168.29.143,192.168.29.4,41,128,TCP,62049.0,8008.0
192.168.29.143,192.168.29.4,41,128,TCP,62050.0,8008.0
192.168.29.143,52.11.247.82,64,128,TCP,60189.0,443.0
192.168.29.143,20.189.173.27,40,128,TCP,62112.0,443.0
20.189.173.27,192.168.29.143,40,103,TCP,443.0,62112.0
192.168.29.143,20.189.173.27,40,128,TCP,62112.0,443.0
192.168.29.171,239.255.255.250,153,1,UDP,42798.0,1900.0
192.168.29.143,3.6.211.252,40,128,TCP,62030.0,443.0
13.107.5.93,192.168.29.143,40,111,TCP,443.0,62107.0
192.168.29.143,52.11.247.82,64,128,TCP,60189.0,443.0
192.168.29.1,224.0.0.1,36,1,,,
192.168.29.1,224.0.0.1,36,1,,,
192.168.29.1,224.0.0.1,36,1,,,
192.168.29.143,224.0.0.22,40,1,,,
192.168.29.143,20.189.173.1,41,128,TCP,62113.0,443.0
20.50.88.238,192.168.29.143,40,100,TCP,443.0,62116.0
20.189.173.1,192.168.29.143,52,103,TCP,443.0,62113.0
192.168.29.143,224.0.0.22,40,1,,,
192.168.29.143,224.0.0.22,40,1,,,
3.6.211.252,192.168.29.143,40,242,TCP,443.0,62135.0
192.168.29.143,3.6.211.252,40,128,TCP,62135.0,443.0
20.50.88.238,192.168.29.143,40,100,TCP,443.0,62115.0
192.168.29.143,117.18.232.200,41,128,TCP,62109.0,443.0
117.18.232.200,192.168.29.143,52,53,TCP,443.0,62109.0
192.168.29.10,224.0.0.251,138,255,UDP,5353.0,5353.0
192.168.29.143,117.18.232.200,41,128,TCP,62111.0,443.0
117.18.232.200,192.168.29.143,52,53,TCP,443.0,62111.0
192.168.29.143,52.11.247.82,40,128,TCP,60189.0,443.0
